Gene,P_Value,Mean_Cluster1,Mean_Cluster2,Mean_Cluster3,Adjusted_P_Value,Upregulated_In,Downregulated_In
Col9a3,2.91E-06,-0.148074356,2.102832968,-0.143955582,5.66E-06,Cluster2,Cluster1
Cox8b,0.007190493,-0.083152906,1.207645853,-0.0828859,0.00818457,Cluster2,Cluster1
Crabp2,0.014190893,0.202783278,0.278373974,-0.044176853,0.015173812,Cluster2,Cluster3
Csn3,0.006345239,-0.094572584,1.256179746,-0.085304539,0.00732371,Cluster2,Cluster1
Cst3,8.75E-05,-0.074454245,1.619856138,-0.115366269,0.000137631,Cluster2,Cluster3
Dbi,5.10E-06,-0.195082902,2.201040961,-0.146149912,9.61E-06,Cluster2,Cluster1
Efhd1,4.98E-08,0.329384796,0.961770827,-0.11069705,1.16E-07,Cluster2,Cluster3
Eln,5.22E-22,0.713864359,1.239291723,-0.175332551,2.53E-21,Cluster2,Cluster3
Emb,2.92E-07,0.264059373,1.042177373,-0.10946212,6.45E-07,Cluster2,Cluster3
Epcam,0.018669306,-0.084232956,1.091171261,-0.073863849,0.019457041,Cluster2,Cluster1
F11r,0.000329621,0.102800793,0.978424092,-0.086375352,0.00047892,Cluster2,Cluster3
Fam180a,0.007595379,0.043279111,0.82731556,-0.068105474,0.008605773,Cluster2,Cluster3
Folr1,0.013873658,0.042073845,0.756410633,-0.062551346,0.014964164,Cluster2,Cluster3
Fth1,7.39E-09,-0.027946972,2.13268402,-0.159805766,1.84E-08,Cluster2,Cluster3
Fxyd3,6.99E-05,-0.103466231,1.724641085,-0.12009599,0.000111312,Cluster2,Cluster3
G0s2,0.000652949,-0.206683998,1.828889101,-0.116402636,0.000895991,Cluster2,Cluster1
Gdf10,7.44E-05,0.074264586,1.193895556,-0.09961659,0.000117767,Cluster2,Cluster3
Gja1,1.65E-06,0.351506378,0.665981167,-0.090593966,3.40E-06,Cluster2,Cluster3
Gjb2,0.020392491,-0.083575694,1.077449621,-0.072889594,0.020900188,Cluster2,Cluster1
Gpr37l1,0.000451779,-0.108207393,1.572889472,-0.107964806,0.000641319,Cluster2,Cluster1
